Fe_pred,S_pred,Cu_pred,MET_pred
65.31,3.74,0.11,0.05
65.28,3.77,0.11,0.05
64.76,3.73,0.11,0.05
66.08,3.66,0.1,0.04
61.42,3.68,0.12,0.07
58.18,3.69,0.12,0.09
51.8,3.26,0.09,0.11
49.83,3.02,0.09,0.12
49.84,3.03,0.09,0.12
49.86,3.04,0.09,0.12
49.88,3.06,0.09,0.11
49.89,3.07,0.09,0.11
49.91,3.09,0.09,0.11
49.92,3.12,0.09,0.11
53.15,3.33,0.1,0.1
51.85,3.49,0.09,0.11
53.87,4.01,0.1,0.1
53.84,4.04,0.1,0.1
53.8,4.07,0.1,0.1
53.77,4.11,0.1,0.1
53.73,4.17,0.1,0.1
53.7,4.21,0.1,0.1
53.66,4.26,0.1,0.1
53.61,4.31,0.1,0.1
53.57,4.35,0.1,0.1
53.97,4.55,0.1,0.1
60.99,4.14,0.1,0.07
60.96,4.18,0.1,0.07
60.94,4.24,0.1,0.07
60.9,4.3,0.11,0.07
60.85,4.37,0.11,0.07
60.82,4.43,0.11,0.07
60.8,4.48,0.11,0.07
60.79,4.54,0.11,0.07
60.78,4.59,0.11,0.07
60.74,4.65,0.11,0.07
60.66,4.71,0.11,0.07
60.58,4.78,0.11,0.07
60.52,4.85,0.11,0.07
60.45,4.91,0.11,0.07
60.37,4.96,0.11,0.07
60.28,5.01,0.11,0.07
60.2,5.06,0.11,0.07
60.12,5.11,0.11,0.07
15.24,3.31,0.05,0.26
15.29,3.3,0.06,0.26
15.32,3.3,0.06,0.26
15.36,3.3,0.06,0.26
12.51,3.4,0.03,0.27
12.54,3.39,0.03,0.27
12.56,3.38,0.03,0.27
12.59,3.36,0.03,0.27
12.62,3.35,0.03,0.27
12.64,3.34,0.03,0.27
12.66,3.34,0.03,0.27
18.49,3.91,0.08,0.25
17.28,3.47,0.08,0.26
17.27,3.46,0.08,0.26
15.06,3.04,0.04,0.27
15.0,3.02,0.05,0.27
18.5,3.49,0.07,0.25
17.69,3.05,0.07,0.27
17.67,3.05,0.07,0.27
17.65,3.04,0.07,0.27
17.61,3.03,0.07,0.27
65.34,3.66,0.11,0.05
66.24,3.61,0.11,0.04
66.0,3.56,0.11,0.04
65.46,3.49,0.11,0.05
63.14,3.7,0.12,0.07
62.02,3.69,0.12,0.07
58.25,3.68,0.12,0.09
51.77,3.28,0.09,0.11
49.77,3.04,0.09,0.12
49.78,3.05,0.09,0.12
49.81,3.07,0.09,0.12
49.81,3.09,0.09,0.12
49.82,3.12,0.09,0.11
49.83,3.15,0.09,0.11
51.21,3.16,0.09,0.11
55.16,3.86,0.09,0.1
55.1,3.9,0.09,0.1
55.05,3.93,0.09,0.1
55.0,3.97,0.09,0.1
54.95,4.0,0.09,0.1
54.9,4.04,0.09,0.1
54.85,4.1,0.09,0.1
54.79,4.15,0.09,0.1
54.77,4.22,0.09,0.1
56.81,4.1,0.1,0.09
61.09,4.11,0.1,0.07
61.02,4.17,0.1,0.07
60.96,4.22,0.1,0.07
60.92,4.28,0.11,0.07
60.87,4.35,0.11,0.07
60.84,4.41,0.11,0.07
60.83,4.46,0.11,0.07
60.81,4.51,0.11,0.07
60.79,4.56,0.11,0.07
60.78,4.62,0.11,0.07
60.76,4.7,0.11,0.07
60.7,4.76,0.11,0.07
60.63,4.83,0.11,0.07
60.56,4.9,0.11,0.07
60.48,4.94,0.11,0.07
60.39,4.99,0.11,0.07
60.32,5.04,0.11,0.07
60.23,5.09,0.11,0.07
15.14,3.32,0.05,0.26
15.18,3.31,0.06,0.26
15.22,3.31,0.06,0.26
15.25,3.3,0.06,0.26
15.29,3.29,0.06,0.26
15.33,3.28,0.06,0.26
15.36,3.28,0.06,0.26
15.39,3.26,0.06,0.27
12.51,3.35,0.03,0.27
12.54,3.33,0.03,0.27
12.56,3.32,0.03,0.27
18.48,3.92,0.08,0.25
18.45,3.91,0.08,0.25
17.24,3.45,0.08,0.26
17.23,3.45,0.08,0.26
17.55,3.54,0.06,0.26
18.5,3.48,0.07,0.25
17.69,3.05,0.07,0.27
17.67,3.04,0.07,0.27
17.64,3.04,0.07,0.27
17.61,3.03,0.07,0.27
17.59,3.02,0.07,0.27
65.63,3.4,0.11,0.05
66.71,3.45,0.11,0.04
66.68,3.47,0.11,0.05
66.12,3.38,0.1,0.05
63.39,3.69,0.12,0.07
63.18,3.69,0.12,0.07
62.05,3.69,0.12,0.07
62.68,3.73,0.12,0.07
51.75,3.3,0.09,0.11
49.71,3.07,0.09,0.12
49.72,3.1,0.09,0.12
49.73,3.13,0.09,0.12
49.74,3.16,0.09,0.12
59.21,3.68,0.11,0.09
61.32,3.63,0.09,0.06
61.27,3.68,0.09,0.06
61.22,3.73,0.09,0.07
61.19,3.79,0.09,0.07
61.14,3.86,0.09,0.07
61.11,3.93,0.09,0.07
61.07,3.99,0.09,0.07
61.03,4.06,0.09,0.07
60.99,4.13,0.09,0.07
60.95,4.19,0.09,0.07
61.51,4.02,0.1,0.07
61.09,4.15,0.1,0.07
61.02,4.21,0.11,0.07
60.95,4.26,0.11,0.07
60.9,4.32,0.11,0.07
60.85,4.38,0.11,0.07
60.84,4.43,0.11,0.07
60.83,4.48,0.11,0.07
60.81,4.53,0.11,0.07
60.8,4.6,0.11,0.07
60.78,4.67,0.11,0.07
60.75,4.74,0.11,0.07
60.74,4.81,0.11,0.07
60.67,4.87,0.11,0.07
60.59,4.92,0.11,0.07
60.52,4.97,0.11,0.07
60.43,5.01,0.11,0.07
60.35,5.06,0.11,0.07
60.26,5.11,0.11,0.07
15.07,3.32,0.06,0.26
15.1,3.32,0.06,0.26
15.14,3.31,0.06,0.26
15.18,3.3,0.06,0.26
15.21,3.29,0.06,0.26
15.25,3.28,0.06,0.26
15.29,3.27,0.06,0.27
15.32,3.26,0.06,0.27
15.35,3.25,0.06,0.27
15.39,3.24,0.06,0.27
16.93,3.57,0.07,0.26
18.44,3.91,0.08,0.25
17.2,3.44,0.08,0.26
17.19,3.44,0.08,0.26
15.25,3.03,0.05,0.27
17.52,3.53,0.06,0.26
18.48,3.47,0.07,0.25
17.67,3.04,0.08,0.27
17.64,3.03,0.07,0.27
17.61,3.02,0.07,0.27
17.58,3.02,0.07,0.27
17.56,3.01,0.07,0.27
66.28,3.28,0.1,0.05
66.25,3.31,0.1,0.05
64.88,3.27,0.1,0.06
63.52,3.55,0.12,0.07
63.46,3.56,0.12,0.07
64.29,3.58,0.12,0.07
63.38,3.69,0.12,0.07
62.08,3.68,0.12,0.08
62.72,3.72,0.12,0.07
58.13,3.67,0.12,0.09
49.63,3.14,0.09,0.12
49.64,3.16,0.09,0.12
54.93,3.53,0.11,0.1
60.49,3.48,0.1,0.08
61.37,3.64,0.09,0.06
61.33,3.69,0.09,0.06
61.29,3.76,0.09,0.07
61.24,3.83,0.09,0.07
61.2,3.89,0.09,0.07
61.17,3.96,0.09,0.07
61.13,4.02,0.09,0.07
61.1,4.09,0.09,0.07
