DDH;ESTE_X;NORTE_Y;COTA_Z;Fe;S;Cu;MET;Al;Sc;Ca;Y;Sr;Mg;Ba;K;Litologia;Lito_code
ODH-03;189659.7861;8439102.141;3673.03262;52.06;2.417;0.097239;0.0676158;1.422;0.25;3.23;6.149;29.763;1.256;50.169;0.534;MG;5
ODH-03;189658.0297;8439104.091;3668.485986;9.795;8.09;0.08771;0.236605;5.845;5.85;6.82;16.5;322.15;5.98;152;1.655;MG;5
ODH-03;189657.026;8439105.206;3665.88791;9.16;8.78;0.079155;0.211805;5.37;5.85;7.105;14.35;292.2;5.635;128.5;1.28;MG;5
ODH-03;189656.0223;8439106.321;3663.289834;13.035;3.255;0.06348;0.21272;4.945;4.9;5.625;10.6;136.1;6.265;159.5;1.83;MG;5
ODH-03;189655.1675;8439107.27;3661.077139;56.16;4.02;0.15675;0.07498;1.12;0.25;2.72;4.8;21;1.02;30;0.38;MG;5
ODH-03;189654.5636;8439107.941;3659.513963;5.25;0.31;0.01458;0.24683;4.13;6.2;14.64;10.9;195.6;5;204;2.4;MG;5
ODH-04;189777.884;8439121.556;3764.165;43.755;0.02;0.022755;0.19324;3.66;3.05;0.47;7.7;38.1;2.44;162;0.98;SL;7
ODH-04;189777.884;8439121.556;3761.165;38.57;0.015;0.026815;0.231895;4.43;4.7;0.525;9.3;32.2;3.25;285;1.455;SL;7
ODH-04;189777.884;8439121.556;3758.165;50.935;0.01;0.021865;0.160815;3.105;1.9;0.32;6.55;20.15;2.205;118;0.78;SL;7
ODH-04;189777.884;8439121.556;3755.915;31.3;0.06;0.02209;0.2962;5.08;6.7;0.37;10.8;50.1;4.33;324;2.49;SL;7
ODH-04;189777.884;8439121.556;3752.665;47.57;0.02;0.03416;0.42685;8.33;9.6;2.38;17.7;188.7;5.35;595;4.51;INT;3
ODH-04;189777.884;8439121.556;3748.665;61.61;0.05;0.043655;0.06339;1.29;0.25;0.19;3;10.95;0.505;36.5;0.355;MG;5
ODH-04;189777.884;8439121.556;3745.665;64.03;0.045;0.061785;0.05461;1.3;0.25;0.06;1.2;6.85;0.115;8.5;0.16;MG;5
ODH-04;189777.884;8439121.556;3742.665;62.865;0.68;0.267315;0.039405;1.59;0.25;0.03;1.2;5.5;0.09;14.5;0.13;MG;5
ODH-04;189777.884;8439121.556;3739.665;65.94;0.07;0.036625;0.030585;0.835;0.25;0.04;1.45;3.75;0.05;10.5;0.12;MG;5
ODH-04;189777.884;8439121.556;3736.665;66.465;0.08;0.024545;0.027555;0.61;0.25;0.055;1.85;4.65;0.05;10;0.105;MG;5
ODH-04;189777.884;8439121.556;3733.665;66.155;0.285;0.0217075;0.03101;0.665;0.25;0.057;1.9;6.35;0.055;12.5;0.205;MG;5
ODH-04;189777.884;8439121.556;3730.665;64.5;0.175;0.032495;0.041065;0.635;0.25;0.05;1.95;14.5;0.045;20;0.13;MG;5
ODH-04;189777.884;8439121.556;3727.665;64.435;0.15;0.054105;0.039605;0.76;0.25;0.05;1.8;6.8;0.05;8;0.085;MG;5
ODH-04;189777.884;8439121.556;3724.665;64.655;0.115;0.022375;0.065175;0.65;0.25;0.055;2.65;6.15;0.06;9.5;0.11;MG;5
ODH-04;189777.884;8439121.556;3721.665;64.235;0.095;0.036345;0.04469;0.745;0.25;0.065;2.95;4.95;0.055;14.5;0.13;MG;5
ODH-04;189777.884;8439121.556;3718.665;65.43;0.115;0.027915;0.040835;0.685;0.25;0.07;2.15;5.75;0.065;15.5;0.155;MG;5
ODH-04;189777.884;8439121.556;3715.665;62.35;0.2;0.036135;0.05835;1.105;0.25;0.095;3;9.7;0.14;34.5;0.245;MG;5
ODH-04;189777.884;8439121.556;3712.665;64.89;0.15;0.04175;0.068255;0.97;0.25;0.105;4.45;10.35;0.15;52;0.23;MG;5
ODH-04;189777.884;8439121.556;3709.665;65.425;0.15;0.05521;0.053015;0.785;0.25;0.14;4.15;8.2;0.115;20.5;0.17;MG;5
ODH-04;189777.884;8439121.556;3706.665;59.63;0.78;0.13382;0.057855;1.585;0.25;0.1;2.35;15.2;0.165;47;0.19;MG;5
ODH-04;189777.884;8439121.556;3703.665;58.085;0.405;0.1059125;0.060245;2.302;1.05;0.115;2.925;19.2;0.292;41.5;0.21;MG;5
ODH-04;189777.884;8439121.556;3700.665;64.81;1.49;0.296565;0.066715;1.545;0.25;0.17;7.45;12.05;0.415;32;0.22;MG;5
ODH-04;189777.884;8439121.556;3697.665;51.38;3.16;0.401175;0.14922;2.895;0.925;0.325;25.1;50.45;0.995;165.5;0.85;MG;5
ODH-04;189777.884;8439121.556;3694.665;60.585;3.53;0.51139;0.08154;1.305;0.25;0.19;10.8;9.95;0.785;17.5;0.18;MG;5
ODH-04;189777.884;8439121.556;3691.665;58.84;3.515;0.115955;0.12483;1.755;0.425;0.3;7.95;13.65;1.015;13.5;0.225;MG;5
ODH-04;189777.884;8439121.556;3688.665;58.525;4.08;0.13379;0.119065;1.305;0.25;0.815;7.8;9.6;0.8;13.5;0.155;MG;5
ODH-04;189777.884;8439121.556;3686.415;24.67;2.44;0.0599;0.17188;4.73;3.4;8.32;14.1;94.1;2.91;124;1.64;FLL;2
ODH-05;189777.4497;8439121.71;3764.66834;35.93;0.03;0.0197;0.21098;4.14;11.6;0.75;9.7;54.3;2.96;211;1.04;SL;7
ODH-05;189778.8692;8439120.133;3762.547019;54.18;0.02;0.04719;0.129;2.22;14.2;0.42;7.7;13.7;1.68;78;0.38;MG;5
ODH-05;189780.2886;8439118.557;3760.425699;52.08;0.02;0.02099;0.13175;2.33;13.1;0.45;4.9;16.6;2.34;87;0.65;MG;5
ODH-05;189781.708;8439116.98;3758.304379;67.73;0.08;0.01302;0.09638;0.78;15.2;0.2;2.5;7.7;0.45;28;0.16;MG;5
ODH-05;189783.1275;8439115.404;3756.183058;64.5;0.04;0.05649;0.09417;1.34;17.4;0.2;2.5;8.8;0.64;35;0.27;MG;5
ODH-05;189784.5469;8439113.828;3754.061738;46.43;0.09;0.25436;0.16167;2.93;12.9;0.47;6.7;18.3;2.98;124;0.91;MG;5
ODH-05;189785.9664;8439112.251;3751.940418;53.315;0.12;0.070805;0.13205;2.075;13.55;0.28;4.05;11.6;1.965;58.5;0.585;MG;5
ODH-05;189787.3858;8439110.675;3749.819097;46.29;0.05;0.11327;0.176;3.01;13.2;0.32;6.7;11.4;2.78;104;0.78;MG;5
ODH-05;189788.8052;8439109.098;3747.697777;50.68;0.03;0.06666;0.14788;2.34;13.5;0.38;5;7.9;2.8;66;0.62;MG;5
ODH-05;189790.2247;8439107.522;3745.576457;55.77;0.06;0.01303;0.11884;1.89;12.9;0.33;3.6;9.6;2.15;74;0.45;MG;5
ODH-05;189791.6441;8439105.945;3743.455136;54.665;0.035;0.012885;0.09019;1.775;12.65;0.77;5.3;10.55;2.66;50.5;0.465;MG;5
ODH-05;189793.0636;8439104.369;3741.333816;54.315;0.785;0.091905;0.116525;1.745;10.65;0.255;4.4;14.6;1.83;45;0.455;MG;5
ODH-05;189794.483;8439102.792;3739.212496;63.845;0.175;0.07171;0.07358;1.1;12.75;0.2;4.2;10.2;0.605;27;0.25;MG;5
ODH-05;189795.9024;8439101.216;3737.091175;63.47;0.31;0.0394;0.06129;1.005;12.1;0.2;3.8;8.9;0.515;63.5;0.28;MG;5
ODH-05;189797.3219;8439099.64;3734.969855;63.34;0.555;0.02476;0.06076;0.8;11.45;0.215;3.55;9.1;0.375;19.5;0.345;MG;5
ODH-05;189798.7413;8439098.063;3732.848535;66.185;0.17;0.01576;0.04396;0.63;12.5;0.2;3.45;6.45;0.175;9.5;0.13;MG;5
ODH-05;189800.1608;8439096.487;3730.727214;65.79;0.49;0.02257;0.05245;0.685;11.35;0.175;3.6;6.05;0.14;16;0.24;MG;5
ODH-05;189801.5802;8439094.91;3728.605894;64.435;0.462;0.0381225;0.0484175;0.783;9.9;0.14;3.55;4.6;0.225;15.75;0.208;MG;5
ODH-05;189802.9996;8439093.334;3726.484574;64.29;0.495;0.034005;0.045745;0.805;11.9;0.16;3.1;5.15;0.26;19.5;0.295;MG;5
ODH-05;189804.4191;8439091.757;3724.363253;65.33;0.285;0.0518;0.03649;0.685;10.2;0.14;3;5.5;0.175;16.5;0.165;MG;5
ODH-05;189805.8385;8439090.181;3722.241933;65.86;0.215;0.06048;0.03996;0.74;11;0.165;2.75;6.25;0.115;19.5;0.135;MG;5
ODH-05;189807.258;8439088.604;3720.120613;64.435;0.87;0.104095;0.03789;1.21;11.7;0.205;3.9;10.8;0.32;16;0.285;MG;5
ODH-05;189808.6774;8439087.028;3717.999292;66.26;0.44;0.0112;0.035835;0.615;11.25;0.185;3.4;6.8;0.17;12;0.225;MG;5
