DDH;From;To;Fe;S;Cu;MET Total;Litologia;AI;DG;;;
ODH-05;43.5;45;61.55;0.64;0.02057;581.4;MG;1.5;;;;
ODH-05;45;46.5;65.66;0.21;0.01151;453.8;MG;1.5;;;;
ODH-05;46.5;48;66.71;0.13;0.02001;425.4;MG;1.5;;;;
ODH-05;48;49.5;65.75;0.42;0.01858;524.8;MG;1.5;;;;
ODH-05;49.5;51;65.83;0.56;0.02656;524.2;MG;1.5;;;;
ODH-05;51;52.5;66.14;0.33;0.0207;431.5;MG;1.5;;;;
ODH-05;52.5;54;62.41;0.79;0.05313;545.4;MG;1.5;;;;
ODH-05;54;55.5;62.48;0.57;0.05026;498.2;MG;1.5;;;;
ODH-05;55.5;57;66.1;0.42;0.01775;416.7;MG;1.5;;;;
ODH-05;57;58.5;64.52;0.37;0.05792;399.6;MG;1.5;;;;
ODH-05;58.5;60;66.14;0.2;0.04568;330.2;MG;1.5;;;;
ODH-05;60;61.5;66.57;0.14;0.07293;391.3;MG;1.5;;;;
ODH-05;61.5;63;65.15;0.29;0.04803;407.9;MG;1.5;;;;
ODH-05;63;64.5;64.87;0.69;0.08864;375.9;MG;1.5;;;;
ODH-05;64.5;66;64;1.05;0.11955;381.9;MG;1.5;;;;
ODH-05;66;67.5;65.66;0.55;0.01735;339.6;MG;1.5;;;;
ODH-05;67.5;69;66.86;0.33;0.00505;377.1;MG;1.5;;;;
ODH-05;69;70.5;63.76;1.68;0.03436;555.1;MG;1.5;;;;
ODH-05;70.5;72;65.24;0.42;0.02117;329.1;MG;1.5;;;;
ODH-05;72;73.5;64.96;0.46;0.02525;350;MG;1.5;;;;
ODH-05;73.5;75;64.81;0.64;0.02626;429.8;MG;1.5;;;;
ODH-05;75;76.5;63.47;3.3;0.16857;598.8;MG;1.5;;;;
ODH-05;76.5;78;61.99;3.19;0.19928;591.5;MG;1.5;;;;
ODH-05;78;79.5;63.57;2.21;0.16728;718.9;MG;1.5;;;;
ODH-05;79.5;81;65.39;3;0.08897;761.6;MG;1.5;;;;
ODH-05;81;82.5;58.39;4.53;0.15346;905.6;MG;1.5;;;;
ODH-05;82.5;84;57.66;1.98;0.04064;542.9;MG;1.5;;;;
ODH-05;84;85.5;58.71;3;0.08181;587.3;MG;1.5;;;;
ODH-05;85.5;87;57.77;3.89;0.17172;671.4;MG;1.5;;;;
ODH-05;87;88.5;61.72;4.25;0.01619;737.3;MG;1.5;;;;
ODH-05;88.5;90;61.33;5.01;0.10968;766.5;MG;1.5;;;;
ODH-05;90;91.5;62.5;5.73;0.12433;693;MG;1.5;;;;
ODH-05;91.5;93;61.85;4.25;0.27331;814.6;MG;1.5;;;;
ODH-05;93;94.5;61.66;3.97;0.15767;642.8;MG;1.5;;;;
ODH-05;94.5;96;58.28;2.23;0.17293;677.1;MG;1.5;;;;
